ÖVP,SPÖ,FPÖ,Grüne,Institute,Date,Sample Size,Treatment
33,23,27,5,Research Affairs,2017-10-09,1000,1
33,27,25,4,OGM,2017-10-08,1002,0
33,23,25,5,Market,2017-10-06,813,0
34,22,27,5,Research Affairs,2017-10-05,600,1
33,24,26,5,Research Affairs,2017-10-01,1000,1
33,22,27,6,Spectra,2017-09-30,900,0
34,27,25,4,Unique Research,2017-09-29,1500,0
32,26,25,4,Christina Matzka TripleM,2017-09-29,800,0
33,26,25,5,OGM,2017-09-24,803,0
33,24,24,5,Unique Research,2017-09-23,500,0
33,24,25,6,Research Affairs,2017-09-21,600,1
34,23,24,8,IMAS,2017-09-17,1033,0
33,24,25,5,Research Affairs,2017-09-15,600,1
33,26,24,4,Market,2017-09-11,814,0
33,25,25,5,OGM,2017-09-10,805,0
33,24,24,6,Research Affairs,2017-09-08,600,1
33,24,23,6,Unique Research,2017-09-01,800,0
33,23,24,7,Research Affairs,2017-09-01,400,1
33,25,23,4,Unique Research,2017-08-26,500,0
33,22,23,7,Research Affairs,2017-08-25,600,1
32,27,24,5,Hajek,2017-08-18,700,0
34,22,24,7,Research Affairs,2017-08-17,600,1
32,25,25,6,AKonsult,2017-08-14,603,0
32,25,22,6,GfK,2017-08-13,1000,0
33,25,24,7,Market,2017-08-09,802,0
34,23,23,7,Research Affairs,2017-08-04,600,1
33,26,22,7,Unique Research,2017-07-29,500,0
32,26,26,7,OGM,2017-07-23,503,0
33,24,23,6,Research Affairs,2017-07-21,600,1
32,26,27,6,Christina Matzka TripleM,2017-07-21,800,0
35,25,24,11,IMAS,2017-07-19,1027,0
32,25,22,8,GfK,2017-07-16,1000,0
34,31,22,8,IFES,2017-07-10,804,0
30,23,27,9,Spectra,2017-07-08,1010,0
34,23,25,6,Research Affairs,2017-07-07,600,1
33,23,25,9,Research Affairs,2017-06-30,600,1
33,26,24,9,Market,2017-06-25,815,0
32,28,25,8,Unique Research,2017-06-24,500,0
33,22,26,10,Research Affairs,2017-06-16,600,1
34,26,24,9,Hajek,2017-06-09,704,0
34,21,26,10,Research Affairs,2017-06-03,600,1
32,27,25,9,Market,2017-05-26,801,0
31,28,26,9,OGM,2017-05-21,800,0
33,27,26,8,Unique Research,2017-05-20,500,0
35,20,26,9,Research Affairs,2017-05-19,600,1
33,26,26,8,Unique Research,2017-05-19,800,0
28,28,26,12,IFES,2017-05-14,1200,0
21,28,29,11,Market,2017-05-09,400,0
22,29,32,8,Research Affairs,2017-04-28,600,1
23,28,32,9,Unique Research,2017-04-27,500,0
21,28,30,12,Spectra,2017-04-22,1502,0
26,26,27,14,IMAS,2017-04-21,1003,0
21,30,32,9,Research Affairs,2017-04-14,602,1
24,30,28,11,AG Wahlen,2017-04-07,2000,0
20,28,33,11,Research Affairs,2017-04-01,600,1
20,29,30,12,Market,2017-03-19,412,0
22,29,31,12,Unique Research,2017-03-18,500,0
19,29,33,12,Research Affairs,2017-03-17,600,1
19,29,33,11,Research Affairs,2017-03-04,600,1
20,29,31,11,Unique Research,2017-02-18,500,0
19,28,34,11,Research Affairs,2017-02-17,602,1
20,29,33,10,Research Affairs,2017-02-03,602,1
19,29,32,12,Unique Research,2017-01-27,800,0
25,26,29,13,IMAS,2017-01-25,1000,0
20,27,33,12,OGM,2017-01-21,783,0
19,28,34,11,Research Affairs,2017-01-21,600,1
20,27,33,11,Unique Research,2017-01-21,500,0
18,27,34,12,Research Affairs,2017-01-07,500,1
