Nr,Projekttitel,Start,Förderbetrag Gesamt,Betrag 2016,Betrag 2017,Betrag 2018,Betrag 2019,Betrag 2020
1,Wirtschafts- und Budgetpolitik,22.09.2016,155.940 €,37.200 €,39.600 €,79.140 €,null,null
2,Betrugsbekämpfung,04.08.2017,61.740 €,null,61.740 €,null,null,null
3,Nulldefizit,14.03.2018,14.400 €,null,null,14.400 €,null,null
4,Steuerentlastungsreform,02.07.2018,18.000 €,null,null,18.000 €,null,null
5,Digitalsteuer,10.09.2018,18.000 €,null,null,18.000 €,null,null
6,Glückspiel,28.09.2018,18.000 €,null,null,18.000 €,null,null
7,User Experience - Analyse der Website BMF,21.11.2018,50.400 €,null,null,50.400 €,null,null
8,Digitalsteuer - Alleingang Österreich,02.05.2019,18.000 €,null,null,null,18.000 €,null
9,Transparenzdatenbank,06.05.2019,35.880 €,null,null,null,35.880 €,null
10,Reform der Finanzverwaltung,02.07.2019,42.000 €,null,null,null,42.000 €,null
11,Antraglose Arbeitnehmerveranlagung,14.10.2019,35.160 €,null,null,null,35.160 €,null
12,Bewertung des Corona-Hilfspakets,19.05.2020,30.000 €,null,null,null,null,30.000 €
13,Bewertung des Wirtshauspakets,19.05.2020,30.000 €,null,null,null,null,30.000 €
14,Bewertung des Corona-Hilfspakets aus Sicht der Bevölkerung und von Unternehmen,24.11.2020,59.880 €,null,null,null,null,59.880 €
Summe,null,null,587.400 €,37.200 €,101.340 €,197.940 €,131.040 €,119.880 €
