date,firm,n,sd,source,FPOE,GRUENE,NEOS,OEVP,SPOE,TS,Jetzt
2013-10-03,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/nationalratswahl2013/SPOe-und-NEOS-legen-zu-Stronach-verliert/117976711,21,13,7,23,28,,
2013-10-17,Gallup,400.0,"0,049",,22,13,8,23,28,,
2013-10-20,Market,603.0,"0,04",http://derstandard.at/1381369204117/Wuerde-jetzt-gewaehlt-waere-FPOe-so-stark-wie-SPOe,25,12,7,23,25,,
2013-10-25,Gallup,400.0,"0,049",http://oe24.at,22,13,8,24,27,,
2013-10-26,Karmasin,500.0,"0,043",http://goo.gl/ETWTEX,23,12,8,23,26,,
2013-10-27,Market,603.0,"0,04",http://derstandard.at/1381370029170/SP-und-VP-verlieren-doch-ihre-Koalition-gilt-als-gut,24,12,8,23,25,,
2013-11-08,Karmasin,800.0,"0,034",http://epaper.heute.at/#/documents/131108_HEU/4,22,12,9,23,27,,
2013-11-16,Gallup,400.0,"0,049",,23,14,9,23,26,,
2013-11-23,Karmasin,500.0,"0,043",,23,14,9,23,26,,
2013-11-24,Market,446.0,"0,046",http://www.format.at/articles/1347/930/369804/sonntagsfrage-fpoe-partei-strache-kanzler,25,13,9,22,23,,
2013-11-29,Gallup,400.0,"0,049",http://www.xn--sterreich-z7a.at/nachrichten/Umfrage-FPOe-jetzt-Zweiter/123429511,23,15,10,22,25,,
2013-12-06,Market,403.0,"0,048",http://derstandard.at/1385170166763/Bei-Neuwahl-kaeme-FPOe-auf-ersten-Platz,25,13,10,21,23,3,
2013-12-12,Hajek,500.0,"0,043",http://www.ots.at/touch/presseaussendung/OTS_20131212_OTS0030,26,14,11,20,23,,
2013-12-14,Gallup,400.0,"0,049",http://www.xn--sterreich-z7a.at/nachrichten/71-Prozent-mit-Regierung-unzufrieden/124886716,24,15,10,21,24,,
2013-12-21,Gallup,400.0,"0,049",http://www.xn--sterreich-z7a.at/nachrichten/Regierung-78-sind-unzufrieden/125464060,24,15,11,20,24,,
2013-12-22,Market,405.0,"0,049",http://derstandard.at/1385171979834/Regierungskurs-unbeliebter-als-Schwarz-Blau-2003,26,12,11,20,24,,
2014-01-12,Gallup,400.0,"0,049",http://m.oe24.at/oesterreich/politik/VP-legt-ueberall-zu-nur-Spindi-faellt-ab/127512417,24,14,12,21,24,1,
2014-01-15,meinungsraum.at,500.0,"0,043",http://www.news.at/a/umfrage-oevp-absturz,26,12,12,19,26,1,
2014-01-17,Gallup,400.0,"0,049",http://www.xn--sterreich-z7a.at/nachrichten/Sensation-FPOe-neue-Nummer-1/128244450,25,14,12,20,24,1,
2014-01-18,IMAS,1000.0,"0,031",http://krone.at,25,13,7,23,25,2,
2014-01-19,Market,403.0,"0,048",http://mobil.derstandard.at/1389857548888/Nach-Parteistreit-Spindelegger-und-OeVP-im-Umfragetief,26,12,11,20,23,,
2014-01-30,Gallup,400.0,"0,049",http://www.xn--sterreich-z7a.at/nachrichten/Sonntagsfrage-FPOe-baut-Platz-1-aus/130252213,25,14,15,19,23,,
2014-02-14,Gallup,400.0,"0,049",http://www.xn--sterreich-z7a.at/nachrichten/Strache-ist-ueberall-vorne/132410678,24,14,14,19,22,,
2014-03-07,Gallup,400.0,"0,049",,24,14,13,20,23,,
2014-03-11,Market,401.0,"0,048",http://derstandard.at/1392687897289/Neos-sind-gleichauf-mit-den-Gruenen,27,13,13,19,22,2,
2014-03-13,Hajek,1000.0,"0,031",http://atv.at/binaries/asset/download_assets/4418155/file,27,12,13,20,24,1,
2014-03-15,IMAS,,,http://www.krone.at/Oesterreich/Hypo-Irrsinn_macht_FPOe_zur_klaren_Nummer_eins-Laut_IMAS-Umfrage-Story-397100,26,11,10,21,24,"2,5",
2014-03-20,meinungsraum.at,800.0,"0,034",,27,12,14,18,24,1,
2014-03-23,Gallup,400.0,"0,049",,24,14,14,20,22,,
2014-03-30,Gallup,400.0,"0,049",http://m.oe24.at/oesterreich/politik/Umfrage-nach-100-Tagen-SP-FP-gleichauf/137794111,24,14,14,19,24,,
2014-04-06,OGM,776.0,"0,035",http://kurier.at/politik/inland/kurier-ogm-umfrage-neos-ueberholen-gruene-fpoe-haengt-die-oevp-ab/59.329.249,24,12,13,21,26,2,
2014-04-12,Gallup,400.0,"0,049",http://m.oe24.at/oesterreich/politik/Klare-Umfrage-Wende-bei-EU-Wahl/139442111,23,14,14,20,24,,
2014-04-16,IMAS,1000.0,"0,031",http://www.krone.at/Politik/Moelzer-Wirbel_kostet_FPOe_Platz_eins-SPOe_wieder_vorne-Story-400989,23,13,12,22,26,,
2014-04-21,Market,405.0,"0,048",http://derstandard.at/1397521198569/Jeder-Vierte-will-bei-Europawahl-eine-andere-Partei-waehlen,27,12,13,19,22,2,
2014-05-01,Gallup,400.0,"0,049",,24,13,14,20,24,,
2014-05-10,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/NR-Wahl-Strache-ist-jetzt-an-der-Spitze/142670962,25,13,13,20,24,,
2014-05-28,Gallup,400.0,"0,049",http://www.xn--sterreich-z7a.at/nachrichten/FPOe-zieht-davon-NEOS-verlieren/145052015,26,14,11,21,25,,
2014-06-06,Unique Research,500.0,"0,043","http://www.heute.at/news/politik/art23660,1025996",26,13,11,22,24,1,
2014-06-08,Hajek,1000.0,"0,031",http://atv.at/oesterreichtrend/,27,11,13,20,25,1,
2014-06-10,Market,400.0,"0,049",http://www.market.at/de/market-aktuell/politik-aktuell/593.html,27,15,11,19,22,2,
2014-06-13,IMAS,,,http://www.krone.at/Politik/SPOe_voran._schwaechelnde_OeVP_hinter_FPOe_auf_Platz_3-IMAS-Umfrage-Story-407862,24,13,8,23,27,,
2014-06-14,Unique Research,500.0,"0,043",http://www.ots.at/touch/presseaussendung/OTS_20140614_OTS0005,28,13,10,21,25,1,
2014-06-18,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/FPOe-zieht-bei-Nationalratswahl-davon/147625683,27,14,9,21,25,,
2014-06-21,OGM,796.0,"0,034",http://kurier.at/politik/inland/faymanns-kanzlerbonus-ist-weg-spindelegger-nur-auf-platz-3/71.382.948,25,13,10,22,26,1,
2014-06-26,meinungsraum.at,800.0,"0,034",http://www.ots.at/presseaussendung/OTS_20140626_OTS0121/meinungsraumat-umfrage-fpoe-klare-nummer-1,28,14,10,19,23,2,
2014-07-05,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/OeSTERREICH-Umfrage-FPOe-liegt-weiter-vor-SPOe-auf-Platz-eins/149813061,27,14,9,20,26,,
2014-07-12,Unique Research,500.0,"0,043",http://www.profil.at/articles/1428/980/376709/umfrage-fpoe-nummer,28,12,11,21,24,2,
2014-07-13,Market,403.0,"0,048",http://derstandard.at/2000003012736/Nur-53-Prozent-wissen-wie-sich-die-Regierung-zusammensetzt,27,15,11,18,22,2,
2014-07-18,Gallup,400.0,"0,049",http://m.oe24.at/oesterreich/politik/Umfrage-Opposition-ueberholt-Regierung/151246121,27,15,10,20,25,,
2014-08-02,Gallup,400.0,"0,049",http://m.oe24.at/oesterreich/politik/FPOe-schon-vier-Prozent-vor-SPOe/152915078,28,14,10,19,24,1,
