date,institute,source,sample,feldzeit,oevp,spoe,fpoe,gruene,neos,pilz,bzoe,stronach,others
04.01.2006,IMAS,Standard/ORF,2000.0,,39.0,42.0,6.0,11.0,,,2.0,,0.0
11.01.2006,Gallup,Standard/News,400.0,,38.0,41.0,6.0,12.0,,,2.0,,2.0
23.01.2006,OGM,Profil,499.0,,38.0,42.0,6.0,10.0,,,3.0,,1.0
18.02.2006,GFK,Krone,,,39.0,41.0,7.0,11.0,,,3.0,,0.0
20.02.2006,OGM,Profil,501.0,,37.0,41.0,8.0,10.0,,,3.0,,2.0
09.03.2006,Gallup,News,400.0,,38.0,43.0,6.0,12.0,,,1.0,,0.0
13.03.2006,OGM,Profil,500.0,,37.0,41.0,8.0,11.0,,,3.0,,0.0
29.03.2006,Gallup,News,,,38.0,35.0,7.0,10.0,,,2.0,,15.0
03.04.2006,OGM,Profil,504.0,,39.0,39.0,8.0,11.0,,,3.0,,0.0
03.04.2006,market,Standard,400.0,,39.0,40.0,7.0,11.0,,,2.0,,1.0
14.04.2006,OGM,ORF/Profil,,,38.0,38.0,10.0,11.0,,,3.0,,0.0
18.04.2006,market,Standard,400.0,,39.0,38.0,7.0,12.0,,,3.0,,1.0
03.05.2006,Gallup,Standard,400.0,,40.0,38.0,8.0,12.0,,,2.0,,0.0
15.05.2006,IMAS,Krone,,,39.0,36.0,5.0,14.0,,,4.0,,2.0
22.05.2006,OGM,Profil,500.0,,39.0,37.0,9.0,11.0,,,3.0,,1.0
22.05.2006,Gallup,News,400.0,,37.0,35.0,7.0,12.0,,,3.0,,12.0
04.06.2006,IMAS,Krone/ORF,700.0,,40.0,37.0,5.0,11.0,,,4.0,,4.0
12.06.2006,market,Standard,400.0,6.-8. Juni 2006,41.0,37.0,7.0,10.0,,,4.0,,1.0
13.06.2006,Gallup,News,400.0,,39.0,35.0,6.0,12.0,,,3.0,,10.0
21.06.2006,Gallup,News,400.0,,39.0,36.0,7.0,11.0,,,2.0,,10.0
22.06.2006,market,,,,41.0,37.0,7.0,10.0,,,4.0,,1.0
24.06.2006,IMAS,Presse,1000.0,,38.0,37.0,6.0,12.0,,,5.0,,4.0
26.06.2006,OGM,Profil,500.0,,40.0,35.0,8.0,13.0,,,3.0,,1.0
28.06.2006,Gallup,News,400.0,,39.0,35.0,6.0,10.0,,,4.0,,12.0
30.06.2006,market,ORF,430.0,26.-28.6.2006,41.0,37.0,6.0,11.0,,,4.0,,1.0
12.07.2006,market,ORF,,,41.0,36.0,5.0,11.0,,,3.0,,7.0
14.07.2006,IMAS,,,,39.0,33.0,8.0,13.0,,,5.0,,4.0
16.07.2006,Integral,Kurier,701.0,,39.0,35.0,8.0,12.0,,,4.0,,2.0
16.07.2006,OGM,Profil,504.0,,40.0,36.0,8.0,12.0,,,3.0,,1.0
31.07.2006,?,APA,,,40.0,36.0,7.0,11.0,,,3.0,,9.0
03.08.2006,market,News,,,39.0,35.0,6.0,11.0,,,3.0,,11.0
08.08.2006,?,Presse,,,37.0,33.0,6.0,13.0,,,4.0,,14.0
10.08.2006,?,News,,,39.0,34.0,7.0,11.0,,,4.0,,9.0
15.08.2006,GFK,Krone,,,39.0,36.0,7.0,12.0,,,4.0,,7.0
16.08.2006,Integral,Kurier,,,39.0,35.0,8.0,12.0,,,4.0,,2.0
16.08.2006,market,News,,,40.0,34.0,7.0,11.0,,,4.0,,8.0
23.08.2006,market,News,,,38.0,36.0,7.0,10.0,,,4.0,,9.0
26.08.2006,OGM,Profil,500.0,,39.0,35.0,7.0,11.0,,,3.0,,9.0
31.08.2006,market,News,,,39.0,35.0,7.0,11.0,,,3.0,,9.0
01.09.2006,Gallup,Österreich,800.0,25.-28. August 2006,37.0,35.0,7.0,11.0,,,4.0,,10.0
01.09.2006,Integral,Kurier,500.0,,37.0,35.0,8.0,11.0,,,4.0,,10.0
03.09.2006,OGM,Profil,,,38.0,35.0,8.0,11.0,,,3.0,,9.0
05.09.2006,OGM,ORF,500.0,,38.0,35.0,9.0,11.0,,,2.0,,9.0
05.09.2006,market,ORF,,,39.0,35.0,7.0,11.0,,,3.0,,9.0
