Institut,Veröffentlichung,ÖVP,SPÖ,FPÖ,GRÜNE
Research Affairs,30.09.2021,34,22,15,10
OGM,12.09.2021,34,24,18,12
Research Affairs,02.09.2021,35,22,19,10
Research Affairs,29.07.2021,35,20,17,12
Unique Research,15.07.2021,35,20,18,11
Unique Research,10.07.2021,34,22,17,12
Research Affairs,08.07.2021,33,21,17,11
IFDD,05.07.2021,33,24,18,12
Market,05.07.2021,31,26,17,13
Unique Research,02.07.2021,35,22,17,13
Research Affairs,01.07.2021,34,22,16,11
Research Affairs,02.06.2021,35,24,15,11
Market,31.05.2021,29,28,20,10
Research Affairs,27.05.2021,34,23,16,11
Demox Research,20.05.2021,33,23,18,12
Research Affairs,20.05.2021,34,22,17,12
Unique Research,15.05.2021,34,23,18,12
Research Affairs,13.05.2021,35,22,17,12
Research Affairs,06.05.2021,36,21,17,12
Peter Hajek,02.05.2021,33,25,18,13
Research Affairs,29.04.2021,36,20,16,12
Research Affairs,22.04.2021,36,21,16,12
Research Affairs,15.04.2021,36,21,18,11
Unique Research,10.04.2021,33,24,19,12
Research Affairs,08.04.2021,35,21,18,10
Market,06.04.2021,36,26,15,12
OGM,03.04.2021,35,24,17,11
Research Affairs,01.04.2021,36,21,18,9
IFDD,31.03.2021,34,24,18,10
Unique Research,26.03.2021,36,23,18,11
Research Affairs,25.03.2021,36,22,17,9
Research Affairs,18.03.2021,37,24,16,9
Peter Hajek,14.03.2021,35,25,17,10
Unique Research,06.03.2021,35,24,17,10
Research Affairs,05.03.2021,37,23,17,9
Market,21.02.2021,37,25,14,12
Research Affairs,18.02.2021,37,24,17,8
Unique Research,13.02.2021,36,23,17,10
Research Affairs,11.02.2021,38,24,16,9
IFDD,07.02.2021,35,24,18,10
Unique Research,16.01.2021,37,22,16,14
Research Affairs,07.01.2021,39,23,16,9
Market,21.12.2020,39,23,13,14
OGM,20.12.2020,40,23,13,13
Research Affairs,17.12.2020,40,22,15,10
Hajek,13.12.2020,39,22,16,13
Market,05.12.2020,39,23,14,14
Unique Research,05.12.2020,40,20,15,13
Research Affairs,03.12.2020,40,22,13,10
Research Affairs,21.11.2020,41,22,12,11
Unique Research,07.11.2020,38,21,16,12
Research Affairs,07.11.2020,41,22,11,11
Research Affairs,29.10.2020,40,22,10,11
OGM,25.10.2020,40,23,11,16
Research Affairs,22.10.2020,41,21,10,12
Unique Research,16.10.2020,40,22,13,13
Research Affairs,01.10.2020,41,20,11,12
Research Affairs,24.09.2020,41,20,12,12
Unique Research,18.09.2020,39,20,16,16
Research Affairs,17.09.2020,42,19,12,12
Research Affairs,10.09.2020,42,19,12,13
Research Affairs,03.09.2020,42,18,13,14
Research Affairs,27.08.2020,41,19,13,14
Market,24.08.2020,41,21,14,16
Research Affairs,20.08.2020,41,18,13,15
Unique Research,13.08.2020,41,18,15,16
Research Affairs,06.08.2020,41,18,12,15
Research Affairs,23.07.2020,42,19,11,15
Unique Research,16.07.2020,41,19,15,16
Research Affairs,09.07.2020,41,20,11,15
Research Affairs,25.06.2020,42,19,11,15
Unique Research,13.06.2020,44,17,14,16
Research Affairs,11.06.2020,42,19,12,16
Research Affairs,28.05.2020,43,18,12,16
Market,26.05.2020,44,20,12,16
Market,22.05.2020,43,21,12,17
Unique Research,14.05.2020,46,17,14,15
Research Affairs,14.05.2020,44,18,11,17
Market,13.05.2020,44,21,11,17
Research Affairs,07.05.2020,45,17,10,18
Research Affairs,23.04.2020,45,16,10,19
Market,22.04.2020,44,20,10,18
Unique Research,16.04.2020,48,16,13,16
Hajek,14.04.2020,46,17,10,16
Market,13.04.2020,44,19,11,19
Research Affairs,07.04.2020,41,18,10,19
OGM,02.04.2020,45,16,12,18
Market,02.04.2020,43,19,11,19
Research Affairs,26.03.2020,40,18,11,18
Market,15.03.2020,40,20,13,17
Research Affairs,11.03.2020,39,17,12,17
Research Affairs,27.02.2020,39,17,11,17
Unique Research,15.02.2020,38,15,16,17
Research Affairs,13.02.2020,39,18,12,17
Market,10.02.2020,39,19,15,17
Hajek,31.01.2020,40,18,15,14
Research Affairs,31.01.2020,39,17,13,17
Research Affairs,23.01.2020,39,16,12,17
Research Affairs,16.01.2020,39,16,13,17
Karmasin Research,16.01.2020,39,17,15,17
Research Affairs,31.01.2020,39,17,11,17
Unique Research,10.01.2020,38,16,16,17
Research Affairs,09.01.2020,39,17,12,17
